,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
2019-06-28 14:07:00.000000000,100734,22,100733,144,101107,234,100552,234,101108,134,100182,234,,,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:08.890043622,100734,22,100733,144,100741,100,100552,234,101107,234,100182,234,101108,134,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:10.000000000,100734,411,100733,413,100741,100,100552,100,101107,100,100182,100,,,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:20.000000000,100734,411,100733,413,100741,100,100552,100,101107,100,100182,100,,,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:30.000000000,100734,142,100733,144,100741,234,100552,234,101107,234,100182,234,,,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:35.335834921,100734,142,100733,144,100741,234,100552,234,100857,100,100182,234,101107,234,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:39.692799687,100734,242,100733,144,100741,234,100552,234,100857,100,100182,234,101107,234,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:40.000000000,100734,185,100733,87,100741,181,100552,181,100857,181,100182,181,101107,181,100168,100,101108,81,100067,181,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:07:50.000000000,100734,185,100733,87,100741,181,100552,181,100857,181,100182,181,101107,181,100168,100,101108,81,100067,181,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
2019-06-28 14:08:00.000000000,100734,122,100733,144,100741,234,100552,234,100857,234,100182,234,101107,100,100168,19,,,100067,100,,,100052,100,,,99884,100,,,99775,100,,,99730,100,,,99657,100
